"scale(hair)","5 %","95 %","N_id","tie_effect","detect_effect","p-value","se","approach","sim","sr_sigma","sr_rho","dr_sigma","dr_rho","exposure_sigma","exposure_baseline","NG","mean.between.GR","mean.within.GR","z","MOE","ci5","ci95","resid"
-16.3797823969457,-19.0610641917105,-13.698500602181,70,-1,-3,2.54709717437881e-15,1.60789539718405,"2.Rates",5,"1.9/1.5",-0.4,2.3,-0.4,2.5,30,3,8,4,-3.05446865542585,-4.91126609190218,-7.96573474732803,1.85679743647633,2.05446865542585
-16.3797823969457,-19.0610641917105,-13.698500602181,70,-1,-3,0,1.60789539718405,"2.Rates permuted",5,"1.9/1.5",-0.4,2.3,-0.4,2.5,30,3,8,4,-3.05446865542585,-4.91126609190218,-7.96573474732803,1.85679743647633,2.05446865542585
-11.5213559702562,-15.3816446746161,-7.66106726589618,70,-1,-3,7.63574132151372e-06,2.3025180573759,"2.Rates weigthed",5,"1.9/1.5",-0.4,2.3,-0.4,2.5,30,3,8,4,-1.49229200878725,-3.43602929711039,-4.92832130589763,1.94373728832314,0.492292008787247
-5.0507581094895,-6.84559645837868,-3.25591976060033,70,-1,-3,2.02063000508371e-05,1.07055405045754,"3.SRI",5,"1.9/1.5",-0.4,2.3,-0.4,2.5,30,3,8,4,-1.40702312066583,-1.50629430091621,-2.91331742158204,0.0992711802503801,0.407023120665829
-5.0507581094895,-6.84559645837868,-3.25591976060033,70,-1,-3,0,1.07055405045754,"3.SRI permuted",5,"1.9/1.5",-0.4,2.3,-0.4,2.5,30,3,8,4,-1.40702312066583,-1.50629430091621,-2.91331742158204,0.0992711802503801,0.407023120665829
-5.0507581094895,-6.84559645837868,-3.25591976060033,70,-1,-3,2.02063000508371e-05,1.07055405045754,"3.SRI weigthed",5,"1.9/1.5",-0.4,2.3,-0.4,2.5,30,3,8,4,-1.40702312066583,-1.50629430091621,-2.91331742158204,0.0992711802503801,0.407023120665829
-2.132,-2.68,-1.57,90,-1.5,0,0,0,"strand",6,"2.9/2.7",0.5,0.5,-0.3,1.9,10,7,3,-8,-1.92072072072072,0,-1.92072072072072,-1.92072072072072,0.420720720720721
-23.4410086145717,-29.1817754133386,-17.7002418158048,90,-1.5,0,1.27539185060326e-09,3.45339602638309,"2.Rates",6,"2.9/2.7",0.5,0.5,-0.3,1.9,10,7,3,-8,-2.04162696694166,-7.0505464549929,-9.09217342193457,5.00891948805124,0.541626966941663
-23.4410086145717,-29.1817754133386,-17.7002418158048,90,-1.5,0,0,3.45339602638309,"2.Rates permuted",6,"2.9/2.7",0.5,0.5,-0.3,1.9,10,7,3,-8,-2.04162696694166,-7.0505464549929,-9.09217342193457,5.00891948805124,0.541626966941663
-25.767087314905,-32.5286327203825,-19.0055419094275,90,-1.5,0,1.93233097581092e-08,4.0555356705717,"2.Rates weigthed",6,"2.9/2.7",0.5,0.5,-0.3,1.9,10,7,3,-8,-1.9054140562327,-7.72747467226043,-9.63288872849313,5.82206061602773,0.405414056232699
-12.9070981457069,-16.4559630130539,-9.35823327835989,90,-1.5,0,6.30355708368239e-08,2.12858853952309,"3.SRI",6,"2.9/2.7",0.5,0.5,-0.3,1.9,10,7,3,-8,-1.81848261742293,-3.8708012587684,-5.68928387619133,2.05231864134547,0.318482617422931
-12.9070981457069,-16.4559630130539,-9.35823327835989,90,-1.5,0,0,2.12858853952309,"3.SRI permuted",6,"2.9/2.7",0.5,0.5,-0.3,1.9,10,7,3,-8,-1.81848261742293,-3.8708012587684,-5.68928387619133,2.05231864134547,0.318482617422931
-12.9070981457069,-16.4559630130539,-9.35823327835989,90,-1.5,0,6.30355708368239e-08,2.12858853952309,"3.SRI weigthed",6,"2.9/2.7",0.5,0.5,-0.3,1.9,10,7,3,-8,-1.81848261742293,-3.8708012587684,-5.68928387619133,2.05231864134547,0.318482617422931
-0.101,-0.217,0.031,90,0,1,0.112,0.112,"strand",7,"0.7/1.3",-0.4,2.1,-0.2,1.5,50,1,8,7,-0.407258064516129,-0.0456129032258065,-0.452870967741936,-0.361645161290323,0.407258064516129
1.08599971321598,-1.43081767407378,3.60281710050574,90,0,1,0.475088013995353,1.51400805311675,"2.Rates",7,"0.7/1.3",-0.4,2.1,-0.2,1.5,50,1,8,7,0.215748611460731,0.326645135200304,-0.110896523739572,0.542393746661035,-0.215748611460731
1.08599971321598,-1.43081767407378,3.60281710050574,90,0,1,0.4794,1.51400805311675,"2.Rates permuted",7,"0.7/1.3",-0.4,2.1,-0.2,1.5,50,1,8,7,0.215748611460731,0.326645135200304,-0.110896523739572,0.542393746661035,-0.215748611460731
-2.10760580064185,-4.83158420933057,0.61637260804688,90,0,1,0.201697263567075,1.63801180182246,"2.Rates weigthed",7,"0.7/1.3",-0.4,2.1,-0.2,1.5,50,1,8,7,-0.386861693528696,-0.633684019673027,-1.02054571320172,0.246822326144331,0.386861693528696
-1.53454109290375,-3.10694697488244,0.0378647890749437,90,0,1,0.108307083777061,0.945535905762193,"3.SRI",7,"0.7/1.3",-0.4,2.1,-0.2,1.5,50,1,8,7,-0.487959600791083,-0.461383323109355,-0.949342923900439,-0.0265762776817282,0.487959600791083
-1.53454109290375,-3.10694697488244,0.0378647890749437,90,0,1,0.1386,0.945535905762193,"3.SRI permuted",7,"0.7/1.3",-0.4,2.1,-0.2,1.5,50,1,8,7,-0.487959600791083,-0.461383323109355,-0.949342923900439,-0.0265762776817282,0.487959600791083
-1.53454109290375,-3.10694697488244,0.0378647890749437,90,0,1,0.108307083777061,0.945535905762193,"3.SRI weigthed",7,"0.7/1.3",-0.4,2.1,-0.2,1.5,50,1,8,7,-0.487959600791083,-0.461383323109355,-0.949342923900439,-0.0265762776817282,0.487959600791083
-1.999,-2.554,-1.372,70,-1.5,1,0,0,"strand",8,"2.9/2.1",0.9,0.7,0.2,2.7,30,1,2,4,-1.6912013536379,0,-1.6912013536379,-1.6912013536379,0.191201353637902
-17.3776357811002,-22.767452296313,-11.9878192658874,70,-1.5,1,1.00561989015802e-06,3.23213366957488,"2.Rates",8,"2.9/2.1",0.9,0.7,0.2,2.7,30,1,2,4,-1.61208046062901,-5.21045953486279,-6.8225399954918,3.59837907423378,0.112080460629007
-17.3776357811002,-22.767452296313,-11.9878192658874,70,-1.5,1,0,3.23213366957488,"2.Rates permuted",8,"2.9/2.1",0.9,0.7,0.2,2.7,30,1,2,4,-1.61208046062901,-5.21045953486279,-6.8225399954918,3.59837907423378,0.112080460629007
-25.6576054203401,-32.5199462756089,-18.7952645650713,70,-1.5,1,6.98116564962826e-08,4.09908267109519,"2.Rates weigthed",8,"2.9/2.1",0.9,0.7,0.2,2.7,30,1,2,4,-1.86944994146135,-7.66302985952415,-9.5324798009855,5.7935799180628,0.369449941461351
-13.8118830628623,-17.8511090385009,-9.77265708722372,70,-1.5,1,4.9497956569631e-07,2.41275120991191,"3.SRI",8,"2.9/2.1",0.9,0.7,0.2,2.7,30,1,2,4,-1.7097190335679,-4.12512666685037,-5.83484570041827,2.41540763328247,0.2097190335679
-13.8118830628623,-17.8511090385009,-9.77265708722372,70,-1.5,1,0,2.41275120991191,"3.SRI permuted",8,"2.9/2.1",0.9,0.7,0.2,2.7,30,1,2,4,-1.7097190335679,-4.12512666685037,-5.83484570041827,2.41540763328247,0.2097190335679
-13.8118830628623,-17.8511090385009,-9.77265708722372,70,-1.5,1,4.9497956569631e-07,2.41275120991191,"3.SRI weigthed",8,"2.9/2.1",0.9,0.7,0.2,2.7,30,1,2,4,-1.7097190335679,-4.12512666685037,-5.83484570041827,2.41540763328247,0.2097190335679
1.259,0.928,1.618,30,1.5,4,0,0,"strand",9,"1.1/2.7",0.9,1.7,-0.9,0.9,90,1,5,1,1.82463768115942,0,1.82463768115942,1.82463768115942,-0.32463768115942
7.84473305839756,4.24206733224774,11.4473987845474,30,1.5,4,0.000923301554086163,2.1178062508777,"2.Rates",9,"1.1/2.7",0.9,1.7,-0.9,0.9,90,1,5,1,1.08874006842445,2.30574052249032,-1.21700045406587,3.39448059091478,0.411259931575547
7.84473305839756,4.24206733224774,11.4473987845474,30,1.5,4,2e-04,2.1178062508777,"2.Rates permuted",9,"1.1/2.7",0.9,1.7,-0.9,0.9,90,1,5,1,1.08874006842445,2.30574052249032,-1.21700045406587,3.39448059091478,0.411259931575547
3.79512933414711,0.483033020542564,7.10722564775166,30,1.5,4,0.0614924262648205,1.94187471603957,"2.Rates weigthed",9,"1.1/2.7",0.9,1.7,-0.9,0.9,90,1,5,1,0.572919531137801,1.11253795184174,-0.539618420703942,1.68545748297954,0.927080468862199
1.46149407974783,0.293915872541902,2.62907228695375,30,1.5,4,0.0423542664153804,0.684548510941251,"3.SRI",9,"1.1/2.7",0.9,1.7,-0.9,0.9,90,1,5,1,0.625865604003203,0.42843536726974,0.197430236733464,1.05430097127294,0.874134395996797
1.46149407974783,0.293915872541902,2.62907228695375,30,1.5,4,2e-04,0.684548510941251,"3.SRI permuted",9,"1.1/2.7",0.9,1.7,-0.9,0.9,90,1,5,1,0.625865604003203,0.42843536726974,0.197430236733464,1.05430097127294,0.874134395996797
1.46149407974783,0.293915872541902,2.62907228695375,30,1.5,4,0.0423542664153804,0.684548510941251,"3.SRI weigthed",9,"1.1/2.7",0.9,1.7,-0.9,0.9,90,1,5,1,0.625865604003203,0.42843536726974,0.197430236733464,1.05430097127294,0.874134395996797
0.199,-0.42,0.869,50,0.5,4,0.308,0.308,"strand",10,"2.9/2.1",0.7,2.1,0.6,0.5,50,7,0,-7,0.154383242823895,0.0475500387897595,0.106833204034135,0.201933281613654,0.345616757176106
6.46158119233413,2.34168170492567,10.5814806797426,50,0.5,4,0.0114250405734844,2.45637971174548,"2.Rates",10,"2.9/2.1",0.7,2.1,0.6,0.5,50,7,0,-7,0.78419160614021,1.92627235144392,-1.14208074530371,2.71046395758413,-0.28419160614021
6.46158119233413,2.34168170492567,10.5814806797426,50,0.5,4,0.013,2.45637971174548,"2.Rates permuted",10,"2.9/2.1",0.7,2.1,0.6,0.5,50,7,0,-7,0.78419160614021,1.92627235144392,-1.14208074530371,2.71046395758413,-0.28419160614021
4.46105746585973,-3.26555485253196,12.1876697842514,50,0.5,4,0.335625855779837,4.56558350911617,"2.Rates weigthed",10,"2.9/2.1",0.7,2.1,0.6,0.5,50,7,0,-7,0.288681331612889,1.3179987270015,-1.02931739538861,1.60668005861439,0.211318668387111
2.48440626140183,-1.5124969568211,6.48130947962475,50,0.5,4,0.300468439251781,2.36173301683788,"3.SRI",10,"2.9/2.1",0.7,2.1,0.6,0.5,50,7,0,-7,0.310791395958097,0.734006301183373,-0.423214905225276,1.04479769714147,0.189208604041903
2.48440626140183,-1.5124969568211,6.48130947962475,50,0.5,4,6e-04,2.36173301683788,"3.SRI permuted",10,"2.9/2.1",0.7,2.1,0.6,0.5,50,7,0,-7,0.310791395958097,0.734006301183373,-0.423214905225276,1.04479769714147,0.189208604041903
2.48440626140183,-1.5124969568211,6.48130947962475,50,0.5,4,0.300468439251781,2.36173301683788,"3.SRI weigthed",10,"2.9/2.1",0.7,2.1,0.6,0.5,50,7,0,-7,0.310791395958097,0.734006301183373,-0.423214905225276,1.04479769714147,0.189208604041903
-1.572,-1.92,-1.241,70,-2,4,0,0,"strand",11,"1.9/2.9",0.8,0.9,0.3,1.7,50,1,9,2,-2.31516936671576,0,-2.31516936671576,-2.31516936671576,0.315169366715759
3.44139312440046,-1.14134087292355,8.02412712172447,70,-2,4,0.214765296890346,2.74814714186454,"2.Rates",11,"1.9/2.9",0.8,0.9,0.3,1.7,50,1,9,2,0.375473803019113,1.03185725861199,-0.656383455592874,1.4073310616311,-2.37547380301911
3.44139312440046,-1.14134087292355,8.02412712172447,70,-2,4,0.2166,2.74814714186454,"2.Rates permuted",11,"1.9/2.9",0.8,0.9,0.3,1.7,50,1,9,2,0.375473803019113,1.03185725861199,-0.656383455592874,1.4073310616311,-2.37547380301911
-19.3312238670022,-30.638633676762,-8.02381405724242,70,-2,4,0.00627614859066619,6.72631424021527,"2.Rates weigthed",11,"1.9/2.9",0.8,0.9,0.3,1.7,50,1,9,2,-0.854803363114902,-5.74967603390367,-6.60447939701857,4.89487267078876,-1.1451966368851
-12.1534598010241,-18.5016660791647,-5.80525352288355,70,-2,4,0.00245347605179937,3.776287497038,"3.SRI",11,"1.9/2.9",0.8,0.9,0.3,1.7,50,1,9,2,-0.957235734673067,-3.61479733656389,-4.57203307123696,2.65756160189082,-1.04276426532693
-12.1534598010241,-18.5016660791647,-5.80525352288355,70,-2,4,0.0876,3.776287497038,"3.SRI permuted",11,"1.9/2.9",0.8,0.9,0.3,1.7,50,1,9,2,-0.957235734673067,-3.61479733656389,-4.57203307123696,2.65756160189082,-1.04276426532693
-12.1534598010241,-18.5016660791647,-5.80525352288355,70,-2,4,0.00245347605179937,3.776287497038,"3.SRI weigthed",11,"1.9/2.9",0.8,0.9,0.3,1.7,50,1,9,2,-0.957235734673067,-3.61479733656389,-4.57203307123696,2.65756160189082,-1.04276426532693
-0.899,-1.225,-0.528,30,-1,-1,0,0,"strand",12,"0.7/2.5",-0.1,0.7,-0.1,1.7,50,3,6,4,-1.28981348637016,0,-1.28981348637016,-1.28981348637016,0.289813486370158
-4.95625371217917,-8.4599029055711,-1.45260451878724,30,-1,-1,0.0229548839139908,2.05959995366483,"2.Rates",12,"0.7/2.5",-0.1,0.7,-0.1,1.7,50,3,6,4,-0.707298795999173,-1.45675256746709,-2.16405136346626,0.749453771467917,-0.292701204000827
-4.95625371217917,-8.4599029055711,-1.45260451878724,30,-1,-1,0.0232,2.05959995366483,"2.Rates permuted",12,"0.7/2.5",-0.1,0.7,-0.1,1.7,50,3,6,4,-0.707298795999173,-1.45675256746709,-2.16405136346626,0.749453771467917,-0.292701204000827
-7.40922207840806,-11.1581162045403,-3.66032795227586,30,-1,-1,0.00235070357393398,2.19796830386333,"2.Rates weigthed",12,"0.7/2.5",-0.1,0.7,-0.1,1.7,50,3,6,4,-0.988187693373498,-2.17200522830277,-3.16019292167626,1.18381753492927,-0.011812306626502
-4.01209815776553,-6.00267344458975,-2.0215228709413,30,-1,-1,0.00198611007588114,1.16706987172436,"3.SRI",12,"0.7/2.5",-0.1,0.7,-0.1,1.7,50,3,6,4,-1.00777352766356,-1.17614212165752,-2.18391564932109,0.16836859399396,0.00777352766356332
-4.01209815776553,-6.00267344458975,-2.0215228709413,30,-1,-1,0.0104,1.16706987172436,"3.SRI permuted",12,"0.7/2.5",-0.1,0.7,-0.1,1.7,50,3,6,4,-1.00777352766356,-1.17614212165752,-2.18391564932109,0.16836859399396,0.00777352766356332
-4.01209815776553,-6.00267344458975,-2.0215228709413,30,-1,-1,0.00198611007588114,1.16706987172436,"3.SRI weigthed",12,"0.7/2.5",-0.1,0.7,-0.1,1.7,50,3,6,4,-1.00777352766356,-1.17614212165752,-2.18391564932109,0.16836859399396,0.00777352766356332
-0.442,-0.676,-0.17,90,-0.5,3,0,0,"strand",13,"1.5/1.7",-0.3,2.7,0.5,1.7,70,7,6,-4,-0.873517786561265,0,-0.873517786561265,-0.873517786561265,0.373517786561265
-0.164428761327875,-3.29301426554779,2.96415674289204,90,-0.5,3,0.930577365925823,1.88202118762141,"2.Rates",13,"1.5/1.7",-0.3,2.7,0.5,1.7,70,7,6,-4,-0.0262784509335112,-0.0494566014347377,-0.0757350523682488,0.0231781505012265,-0.473721549066489
-0.164428761327875,-3.29301426554779,2.96415674289204,90,-0.5,3,0.9438,1.88202118762141,"2.Rates permuted",13,"1.5/1.7",-0.3,2.7,0.5,1.7,70,7,6,-4,-0.0262784509335112,-0.0494566014347377,-0.0757350523682488,0.0231781505012265,-0.473721549066489
-6.29607117511713,-11.2523231344932,-1.33981921574103,90,-0.5,3,0.0377688434124678,2.97330908192904,"2.Rates weigthed",13,"1.5/1.7",-0.3,2.7,0.5,1.7,70,7,6,-4,-0.635164558493278,-1.88854055028751,-2.52370510878079,1.25337599179424,0.135164558493278
-3.73076312146918,-6.32754510345154,-1.13398113948682,90,-0.5,3,0.0193080065966297,1.55783755832094,"3.SRI",13,"1.5/1.7",-0.3,2.7,0.5,1.7,70,7,6,-4,-0.718343539687755,-1.1190625459028,-1.83740608559055,0.40071900621504,0.218343539687755
-3.73076312146918,-6.32754510345154,-1.13398113948682,90,-0.5,3,0.1098,1.55783755832094,"3.SRI permuted",13,"1.5/1.7",-0.3,2.7,0.5,1.7,70,7,6,-4,-0.718343539687755,-1.1190625459028,-1.83740608559055,0.40071900621504,0.218343539687755
-3.73076312146918,-6.32754510345154,-1.13398113948682,90,-0.5,3,0.0193080065966297,1.55783755832094,"3.SRI weigthed",13,"1.5/1.7",-0.3,2.7,0.5,1.7,70,7,6,-4,-0.718343539687755,-1.1190625459028,-1.83740608559055,0.40071900621504,0.218343539687755
-1.077,-1.681,-0.488,50,-1,-2,0.002,0.002,"strand",14,"2.5/2.3",-0.1,1.1,0.3,0.9,50,3,5,7,-0.902766135792121,-0.00180553227158424,-0.904571668063705,-0.900960603520536,-0.0972338642078794
-10.0480974268634,-13.1894849796244,-6.90670987410236,50,-1,-2,2.30326095060502e-06,1.87296818160627,"2.Rates",14,"2.5/2.3",-0.1,1.1,0.3,0.9,50,3,5,7,-1.59930878602226,-2.99545446878304,-4.59476325480531,1.39614568276078,0.599308786022263
-10.0480974268634,-13.1894849796244,-6.90670987410236,50,-1,-2,0,1.87296818160627,"2.Rates permuted",14,"2.5/2.3",-0.1,1.1,0.3,0.9,50,3,5,7,-1.59930878602226,-2.99545446878304,-4.59476325480531,1.39614568276078,0.599308786022263
-9.03859568453016,-13.3233308680039,-4.75386050105639,50,-1,-2,0.000946705941587492,2.55008852550958,"2.Rates weigthed",14,"2.5/2.3",-0.1,1.1,0.3,0.9,50,3,5,7,-1.05474379366454,-2.68969004557639,-3.74443383924094,1.63494625191185,0.054743793664545
-3.73107817263311,-5.82051681394168,-1.64163953132453,50,-1,-2,0.0044284741644186,1.24354324731862,"3.SRI",14,"2.5/2.3",-0.1,1.1,0.3,0.9,50,3,5,7,-0.892842244531382,-1.1102879441078,-2.00313018863918,0.217445699576417,-0.107157755468618
-3.73107817263311,-5.82051681394168,-1.64163953132453,50,-1,-2,0,1.24354324731862,"3.SRI permuted",14,"2.5/2.3",-0.1,1.1,0.3,0.9,50,3,5,7,-0.892842244531382,-1.1102879441078,-2.00313018863918,0.217445699576417,-0.107157755468618
-3.73107817263311,-5.82051681394168,-1.64163953132453,50,-1,-2,0.0044284741644186,1.24354324731862,"3.SRI weigthed",14,"2.5/2.3",-0.1,1.1,0.3,0.9,50,3,5,7,-0.892842244531382,-1.1102879441078,-2.00313018863918,0.217445699576417,-0.107157755468618
-2.002,-2.073,-1.912,90,-2,-3,0,0,"strand",15,"0.5/1.3",0.8,0.9,0.9,2.1,70,1,6,-2,-12.4347826086956,0,-12.4347826086956,-12.4347826086956,10.4347826086956
-37.1724397505173,-39.3783346552695,-34.9665448457651,90,-2,-3,1.28693161469386e-45,1.32697058872453,"2.Rates",15,"0.5/1.3",0.8,0.9,0.9,2.1,70,1,6,-2,-8.42570506655508,-11.1806628125859,-19.606367879141,2.75495774603081,6.42570506655508
-37.1724397505173,-39.3783346552695,-34.9665448457651,90,-2,-3,0,1.32697058872453,"2.Rates permuted",15,"0.5/1.3",0.8,0.9,0.9,2.1,70,1,6,-2,-8.42570506655508,-11.1806628125859,-19.606367879141,2.75495774603081,6.42570506655508
-36.3694650040219,-39.8627584221917,-32.876171585852,90,-2,-3,5.89606859173206e-28,2.09753824706096,"2.Rates weigthed",15,"0.5/1.3",0.8,0.9,0.9,2.1,70,1,6,-2,-5.20561267697287,-10.918971689336,-16.1245843663089,5.71335901236313,3.20561267697287
