"","scale(hair)","5 %","95 %","N_id","tie_effect","detect_effect","p-value","se","approach","sim","sr_sigma","sr_rho","dr_sigma","dr_rho","exposure_sigma","exposure_baseline","NG","mean.between.GR","mean.within.GR","z","MOE","ci5","ci95","resid"
"83",23.8535502130472,22.1982931526587,25.5088072734357,50,4,3,6.23142394965759e-26,0.983587080163161,"Rates weighted",17,"2.9/2.7",-0.9,1.9,-0.9,0.9,10,1,6,-9,7.20539147177788,7.08712995915855,0.118261512619334,14.2925214309364,-3.20539147177788
"84",15.1913723269101,14.3615825933683,16.0211620604519,50,4,3,5.64013891991582e-30,0.493077770634732,"3.SRI",17,"2.9/2.7",-0.9,1.9,-0.9,0.9,10,1,6,-9,9.15374805980554,4.51350968628092,4.64023837352462,13.6672577460865,-5.15374805980554
"85",15.1913723269101,14.3615825933683,16.0211620604519,50,4,3,5.64013891991582e-30,0.493077770634732,"SRI weighted",17,"2.9/2.7",-0.9,1.9,-0.9,0.9,10,1,6,-9,9.15374805980554,4.51350968628092,4.64023837352462,13.6672577460865,-5.15374805980554
"86",2.498,1.665,3.162,30,2,4,0,0,"1.Bayesian",18,"2.5/1.3",0,1.1,0.9,2.3,10,1,1,1,1.6686706746827,0,1.6686706746827,1.6686706746827,0.331329325317301
"87",6.30578239306301,3.24119595029718,9.37036883582884,30,2,4,0.00157525664901175,1.80149945018092,"2.Rates",18,"2.5/1.3",0,1.1,0.9,2.3,10,1,1,1,1.02881457430386,1.85340888994652,-0.824594315642661,2.88222346425038,0.971185425696141
"88",12.1232245050696,9.66352355912811,14.5829254510111,30,2,4,6.46774861279547e-08,1.42250550654772,"Rates weighted",18,"2.5/1.3",0,1.1,0.9,2.3,10,1,1,1,2.46436960661274,3.50557933557545,-1.04120972896271,5.96994894218819,-0.464369606612741
"89",5.58915944046497,4.49002874444816,6.68829013648178,30,2,4,4.00660608427581e-08,0.635654293697515,"3.SRI",18,"2.5/1.3",0,1.1,0.9,2.3,10,1,1,1,2.54253632471541,1.61617413168725,0.926362193028161,4.15871045640266,-0.542536324715412
"90",5.58915944046497,4.49002874444816,6.68829013648178,30,2,4,4.00660608427581e-08,0.635654293697515,"SRI weighted",18,"2.5/1.3",0,1.1,0.9,2.3,10,1,1,1,2.54253632471541,1.61617413168725,0.926362193028161,4.15871045640266,-0.542536324715412
"91",-7.402,-7.713,-7.18,50,-4,-4,0,0,"1.Bayesian",19,"0.5/1.7",0.8,0.7,-0.7,0.5,30,7,4,8,-13.8874296435272,0,-13.8874296435272,-13.8874296435272,9.8874296435272
"92",-27.3095633742327,-28.8483321436939,-25.7707946047714,50,-4,-4,1.3514379574425e-32,0.917449660586192,"2.Rates",19,"0.5/1.7",0.8,0.7,-0.7,0.5,30,7,4,8,-8.8738359902491,-8.14129781735157,-17.0151338076007,-0.732538172897526,4.8738359902491
"93",-25.8989794031244,-27.6897467707221,-24.1082120355268,50,-4,-4,7.19625451122806e-28,1.06678358120285,"Rates weighted",19,"0.5/1.7",0.8,0.7,-0.7,0.5,30,7,4,8,-7.23125177277169,-7.71418066273686,-14.9454324355086,0.482928889965167,3.23125177277169
"94",-12.4562363422478,-13.5732593145658,-11.3392133699298,50,-4,-4,3.80133593580955e-23,0.66542521840446,"3.SRI",19,"0.5/1.7",0.8,0.7,-0.7,0.5,30,7,4,8,-5.57564018419386,-3.71017158731188,-9.28581177150574,-1.86546859688198,1.57564018419386
"95",-12.4562363422478,-13.5732593145658,-11.3392133699298,50,-4,-4,3.80133593580955e-23,0.66542521840446,"SRI weighted",19,"0.5/1.7",0.8,0.7,-0.7,0.5,30,7,4,8,-5.57564018419386,-3.71017158731188,-9.28581177150574,-1.86546859688198,1.57564018419386
"96",-5.531,-6.009,-4.908,70,-3,4,0,0,"1.Bayesian",20,"2.9/1.3",0.8,1.1,0.9,1.3,90,7,5,5,-5.0236148955495,0,-5.0236148955495,-5.0236148955495,2.0236148955495
"97",-32.95365207806,-35.5077227023228,-30.3995814537973,70,-3,4,4.64642094349501e-32,1.53161014588377,"2.Rates",20,"2.9/1.3",0.8,1.1,0.9,1.3,90,7,5,5,-6.45120220345748,-9.88072674796319,-16.3319289514207,3.42952454450571,3.45120220345748
"98",-34.5273919226848,-36.8824848471203,-32.1722989982493,70,-3,4,3.41582905518705e-34,1.41106923021257,"Rates weighted",20,"2.9/1.3",0.8,1.1,0.9,1.3,90,7,5,5,-7.33036721490742,-10.3436556231149,-17.6740228380223,3.01328840820747,4.33036721490742
"99",-16.6982877396873,-18.0103311787382,-15.3862443006365,70,-3,4,1.09552353189878e-30,0.786119352802467,"3.SRI",20,"2.9/1.3",0.8,1.1,0.9,1.3,90,7,5,5,-6.36346604185888,-5.00244380640658,-11.3659098482655,-1.3610222354523,3.36346604185888
"100",-16.6982877396873,-18.0103311787382,-15.3862443006365,70,-3,4,1.09552353189878e-30,0.786119352802467,"SRI weighted",20,"2.9/1.3",0.8,1.1,0.9,1.3,90,7,5,5,-6.36346604185888,-5.00244380640658,-11.3659098482655,-1.3610222354523,3.36346604185888
"101",5.913,5.7,6.108,50,3,-2,0,0,"1.Bayesian",21,"0.5/2.1",0,1.5,-0.4,1.9,70,1,3,5,14.4926470588235,0,14.4926470588235,14.4926470588235,-11.4926470588235
"102",23.3176261022503,22.0227343065487,24.612517897952,50,3,-2,6.96604227824663e-33,0.772044547588719,"2.Rates",21,"0.5/2.1",0,1.5,-0.4,1.9,70,1,3,5,9.00369674889132,6.95125498312382,2.0524417657675,15.9549517320151,-6.00369674889132
